ip,esPublica,estaEnWhitelist,scoreAbuso,pais,codigoPais,isp,tipoDeUso,ultimoReporte,hora,dia
45.204.126.117,True,,0,,HK,Intercontinental Internet Data Corp,Data Center/Web Hosting/Transit,,23:47:10,may/22/2023
59.153.100.70,True,,0,,BD,Dot Internet,Fixed Line ISP,,23:47:10,may/22/2023
1.32.249.141,True,,0,,HK,CTG Server Ltd.,Data Center/Web Hosting/Transit,,23:47:10,may/22/2023
103.116.15.134,True,,0,,TW,Shine Telecom Co. Ltd.,Commercial,,23:47:10,may/22/2023
43.225.58.180,True,,0,,HK,Dragon Spirit Investments International Co. Limited,Data Center/Web Hosting/Transit,,23:47:10,may/22/2023
64.112.28.230,True,False,2,,US,Kurun Cloud Inc,Data Center/Web Hosting/Transit,2023-04-22T15:31:49+00:00,23:47:10,may/22/2023
198.44.187.143,True,,0,,US,VPSquan L.L.C.,Data Center/Web Hosting/Transit,,23:47:10,may/22/2023
103.104.101.139,True,,0,,PH,Suniway Group of Companies Inc.,Fixed Line ISP,,23:47:10,may/22/2023
103.119.131.102,True,,0,,HK,Suniway Group Limited,Data Center/Web Hosting/Transit,,23:47:10,may/22/2023
136.175.200.149,True,False,10,,US,Nexus Bytes LLC,Data Center/Web Hosting/Transit,2023-04-20T05:58:00+00:00,23:47:10,may/22/2023
103.154.61.79,True,,0,,PH,WTW Hightech Company Inc,Data Center/Web Hosting/Transit,,23:47:10,may/22/2023
154.198.4.45,True,,0,,HK,Suniway Group Limited,Data Center/Web Hosting/Transit,,23:47:10,may/22/2023
174.136.237.16,True,,0,,CN,Gold Experience Cloud LLC,Data Center/Web Hosting/Transit,,23:47:10,may/22/2023
43.225.58.205,True,,0,,HK,Dragon Spirit Investments International Co. Limited,Data Center/Web Hosting/Transit,,23:47:10,may/22/2023
103.104.102.158,True,,0,,PH,Suniway Group of Companies Inc.,Fixed Line ISP,,23:47:10,may/22/2023
76.69.253.74,True,,0,,CA,Bell Canada,Fixed Line ISP,,23:47:10,may/22/2023
174.136.237.110,True,,0,,CN,Gold Experience Cloud LLC,Data Center/Web Hosting/Transit,,23:47:10,may/22/2023
154.197.29.139,True,,0,,HK,Suniway Telecom,Data Center/Web Hosting/Transit,,23:47:10,may/22/2023
43.225.58.136,True,,0,,HK,Dragon Spirit Investments International Co. Limited,Data Center/Web Hosting/Transit,,23:47:10,may/22/2023
103.104.103.177,True,,0,,PH,Suniway Group of Companies Inc.,Fixed Line ISP,,23:47:10,may/22/2023
174.136.237.204,True,,0,,CN,Gold Experience Cloud LLC,Data Center/Web Hosting/Transit,,23:47:10,may/22/2023
