May 3 02:49:05	 192.168.0.13
May 3 03:27:25	 192.168.0.13
May 3 03:27:25	 192.168.0.13
May 3 22:06:40	 192.168.0.17
May 3 22:16:10	 192.168.0.17
May 3 22:16:10	 192.168.0.17
May 3 22:31:39	 192.168.0.13
May 3 23:02:55	 192.168.0.13
May 3 23:02:55	 192.168.0.13
May 3 23:03:51	 192.168.0.13
May 3 23:04:18	 192.168.0.13
May 3 23:04:18	 192.168.0.13
May 3 23:04:36	 192.168.0.13
May 3 23:04:38	 192.168.0.13
May 3 23:04:43	 192.168.0.13
May 3 23:05:59	 192.168.0.13
May 3 23:05:59	 192.168.0.13
May 3 23:06:35	 192.168.0.13
May 3 23:06:37	 192.168.0.13
May 3 23:06:37	 192.168.0.13
May 3 23:06:57	 192.168.0.13
May 3 23:06:57	 192.168.0.13
May 3 23:06:57	 192.168.0.13
May 3 23:10:19	 192.168.0.13
May 3 23:10:25	 192.168.0.13
May 3 23:10:25	 192.168.0.13
May 3 23:11:42	 192.168.0.13
May 3 23:18:14	 192.168.0.13
May 3 23:18:14	 192.168.0.13
May 3 23:26:58	 192.168.0.13
May 3 23:30:34	 192.168.0.13
May 3 23:30:34	 192.168.0.13
May 3 23:31:13	 192.168.0.13
May 3 23:31:26	 192.168.0.13
May 3 23:31:26	 192.168.0.13
May 4 20:07:18	 192.168.0.13
May 4 21:03:56	 192.168.0.13
May 4 21:06:18	 192.168.0.13
May 4 21:06:18	 192.168.0.13
May 4 21:06:28	 192.168.0.13
May 4 21:06:43	 192.168.0.13
May 4 21:06:43	 192.168.0.13
May 4 21:06:45	 192.168.0.13
May 4 21:06:45	 192.168.0.13
May 4 21:38:03	 192.168.0.13
May 4 21:42:07	 192.168.0.13
May 4 21:45:00	 192.168.0.13
May 4 21:45:00	 192.168.0.13
May 4 21:45:56	 192.168.0.13
May 4 21:46:45	 192.168.0.13
May 4 21:46:45	 192.168.0.13
May 4 21:51:50	 192.168.0.13
May 4 21:52:10	 192.168.0.13
May 4 21:52:10	 192.168.0.13
May 4 21:52:11	 192.168.0.13
May 4 21:52:11	 192.168.0.13
May 4 21:53:15	 192.168.0.13
May 4 21:54:06	 192.168.0.13
May 4 21:56:26	 192.168.0.13
May 4 21:56:27	 192.168.0.13
May 4 21:56:28	 192.168.0.13
May 4 21:56:28	 192.168.0.13
May 4 22:10:39	 192.168.0.13
May 4 22:11:49	 192.168.0.13
May 4 22:31:48	 192.168.0.13
May 4 22:31:48	 192.168.0.13
May 4 22:31:49	 192.168.0.13
May 4 22:31:49	 192.168.0.13
May 4 23:00:09	 192.168.0.13
May 4 23:03:13	 192.168.0.13
May 4 23:04:30	 192.168.0.13
May 4 23:04:31	 192.168.0.13
May 4 23:04:41	 192.168.0.13
May 4 23:07:26	 192.168.0.13
May 4 23:07:26	 192.168.0.13
May 4 23:08:41	 192.168.0.13
May 4 23:12:55	 192.168.0.13
May 4 23:12:55	 192.168.0.13
May 10 20:20:31	 192.168.0.13
May 10 20:21:10	 192.168.0.13
May 10 20:25:33	 192.168.0.13
May 10 20:26:05	 192.168.0.13
May 10 20:26:05	 192.168.0.13
May 10 20:32:36	 192.168.0.13
May 10 20:41:36	 192.168.0.13
May 10 20:41:36	 192.168.0.13
May 10 20:43:18	 192.168.0.13
May 10 20:43:24	 192.168.0.13
May 10 20:43:42	 192.168.0.13
May 10 20:43:42	 192.168.0.13
May 10 20:43:50	 192.168.0.13
